id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,budget pressure,117,17,30,90,281,ship,baseline,monotonic-signal,raise-signal
m002,g002,failure width,32,41,20,21,86,hold,edge,drag-penalty,drop-slack
m003,g003,recovery gap,41,72,44,60,126,watch,recovery,confidence-floor,raise-drag
m004,g004,runbook drift,49,50,26,45,141,watch,negative,lane-boundary,lower-confidence
m005,g005,budget pressure,66,76,22,61,225,ship,baseline,monotonic-signal,raise-signal
m006,g006,failure width,108,46,43,67,243,ship,edge,drag-penalty,drop-slack
m007,g007,recovery gap,93,50,41,75,229,ship,recovery,confidence-floor,raise-drag
m008,g008,runbook drift,89,14,31,27,157,watch,negative,lane-boundary,lower-confidence
m009,g009,budget pressure,56,33,10,27,152,watch,baseline,monotonic-signal,raise-signal
m010,g010,failure width,117,0,22,25,215,ship,edge,drag-penalty,drop-slack
m011,g011,recovery gap,112,36,15,29,259,ship,recovery,confidence-floor,raise-drag
m012,g012,runbook drift,113,17,45,22,175,watch,negative,lane-boundary,lower-confidence
m013,g013,budget pressure,82,10,28,86,204,ship,baseline,monotonic-signal,raise-signal
m014,g014,failure width,100,0,16,73,241,ship,edge,drag-penalty,drop-slack
m015,g015,recovery gap,73,46,18,71,227,ship,recovery,confidence-floor,raise-drag
m016,g016,runbook drift,63,32,31,61,157,watch,negative,lane-boundary,lower-confidence
m017,g017,budget pressure,71,62,43,37,155,watch,baseline,monotonic-signal,raise-signal
m018,g018,failure width,109,34,8,23,259,ship,edge,drag-penalty,drop-slack
m019,g019,recovery gap,48,39,20,64,159,watch,recovery,confidence-floor,raise-drag
m020,g020,runbook drift,109,38,17,76,298,ship,negative,lane-boundary,lower-confidence
m021,g021,budget pressure,108,40,21,20,234,ship,baseline,monotonic-signal,raise-signal
m022,g022,failure width,53,33,45,59,108,watch,edge,drag-penalty,drop-slack
m023,g023,recovery gap,78,13,45,57,136,watch,recovery,confidence-floor,raise-drag
m024,g024,runbook drift,50,70,15,47,187,ship,negative,lane-boundary,lower-confidence
m025,g025,budget pressure,92,18,5,66,258,ship,baseline,monotonic-signal,raise-signal
m026,g026,failure width,59,0,22,74,148,watch,edge,drag-penalty,drop-slack
m027,g027,recovery gap,51,75,18,39,180,ship,recovery,confidence-floor,raise-drag
m028,g028,runbook drift,94,41,7,13,228,ship,negative,lane-boundary,lower-confidence
m029,g029,budget pressure,40,27,28,24,75,hold,baseline,monotonic-signal,raise-signal
m030,g030,failure width,91,11,19,28,183,ship,edge,drag-penalty,drop-slack
m031,g031,recovery gap,37,57,23,34,119,watch,recovery,confidence-floor,raise-drag
m032,g032,runbook drift,61,77,37,72,197,ship,negative,lane-boundary,lower-confidence
m033,g033,budget pressure,82,55,7,72,277,ship,baseline,monotonic-signal,raise-signal
m034,g034,failure width,82,0,35,70,164,watch,edge,drag-penalty,drop-slack
m035,g035,recovery gap,90,62,37,73,241,ship,recovery,confidence-floor,raise-drag
m036,g036,runbook drift,98,55,13,23,248,ship,negative,lane-boundary,lower-confidence
m037,g037,budget pressure,70,19,43,22,95,hold,baseline,monotonic-signal,raise-signal
m038,g038,failure width,46,27,38,63,106,watch,edge,drag-penalty,drop-slack
m039,g039,recovery gap,42,15,23,88,141,watch,recovery,confidence-floor,raise-drag
m040,g040,runbook drift,88,41,28,92,253,ship,negative,lane-boundary,lower-confidence
m041,g041,budget pressure,79,22,35,58,168,watch,baseline,monotonic-signal,raise-signal
m042,g042,failure width,65,4,40,56,110,watch,edge,drag-penalty,drop-slack
